BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
Ar                                                              
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s2)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s3)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s4)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
Ar(1s5)                                                         
total_cross_sections_paschen_superelastic.txt
--------------------------------------------------
O2                                                              
o2_cs.txt
--------------------------------------------------
O2(0.98)                                                        
o2_cs.txt
--------------------------------------------------
O2(1.63)                                                        
o2_cs.txt
--------------------------------------------------
H2O                                                             
h2o_and_h_cs.txt
--------------------------------------------------
H                                                               
h2o_and_h_cs.txt
--------------------------------------------------
H(2p)(10.2eV)                                                   
h2o_and_h_cs.txt
--------------------------------------------------
H(2s)(10.2eV)                                                   
h2o_and_h_cs.txt
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.2446E+26
Ion charge parameter                       1.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           200.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-03
Maximum # of iterations                    1000.    
Mole fraction Ar                          0.8900    
Mole fraction Ar(1s2)                     0.1000E-02
Mole fraction Ar(1s3)                     0.1000E-02
Mole fraction Ar(1s4)                     0.1000E-02
Mole fraction Ar(1s5)                     0.1000E-02
Mole fraction O2                          0.1000E-02
Mole fraction O2(0.98)                    0.1000E-02
Mole fraction O2(1.63)                    0.1000E-02
Mole fraction H2O                         0.1000    
Mole fraction H                           0.1000E-02
Mole fraction H(2p)(10.2eV)               0.1000E-02
Mole fraction H(2s)(10.2eV)               0.1000E-02
 
 
Energy (eV) 	Electric field / N (Td)                                         
0.1544E-01	0.1345E+24
0.1739E-01	0.1446E+24
0.1958E-01	0.1546E+24
0.2229E-01	0.1679E+24
0.2543E-01	0.1828E+24
0.2917E-01	0.2002E+24
0.3323E-01	0.2178E+24
0.3777E-01	0.2366E+24
0.4295E-01	0.2576E+24
0.4847E-01	0.2785E+24
0.5737E-01	0.3189E+24
0.6358E-01	0.3389E+24
0.7028E-01	0.3597E+24
0.7803E-01	0.3849E+24
0.8575E-01	0.4068E+24
0.9414E-01	0.4295E+24
0.1034	0.4533E+24
0.1138	0.4783E+24
0.1258	0.5053E+24
0.1402	0.5349E+24
0.1581	0.5685E+24
0.1812	0.6088E+24
0.2104	0.6543E+24
0.2473	0.7075E+24
0.2924	0.7693E+24
0.3446	0.8366E+24
0.4036	0.9110E+24
0.4659	0.9855E+24
0.5314	0.1063E+25
0.5985	0.1139E+25
0.6675	0.1216E+25
0.7394	0.1294E+25
0.8147	0.1374E+25
1.539	0.1767E+25
1.591	0.1826E+25
1.655	0.1891E+25
1.730	0.1964E+25
1.819	0.2044E+25
1.924	0.2130E+25
2.045	0.2222E+25
2.185	0.2317E+25
2.343	0.2414E+25
2.516	0.2508E+25
2.713	0.2602E+25
2.929	0.2692E+25
3.163	0.2775E+25
3.412	0.2850E+25
3.672	0.2916E+25
3.938	0.2973E+25
4.207	0.3022E+25
4.477	0.3062E+25
4.741	0.3095E+25
5.001	0.3123E+25
5.256	0.3145E+25
5.504	0.3164E+25
5.748	0.3179E+25
5.988	0.3192E+25
6.225	0.3205E+25
6.461	0.3216E+25
6.697	0.3227E+25
6.935	0.3239E+25
7.177	0.3252E+25
7.425	0.3265E+25
7.681	0.3281E+25
7.949	0.3299E+25
8.229	0.3319E+25
8.526	0.3343E+25
8.844	0.3372E+25
9.186	0.3405E+25
9.556	0.3443E+25
9.961	0.3489E+25
10.41	0.3543E+25
10.90	0.3609E+25
11.44	0.3686E+25
12.05	0.3779E+25
12.74	0.3890E+25
13.52	0.4022E+25
14.40	0.4180E+25
15.40	0.4370E+25
16.54	0.4591E+25
17.85	0.4854E+25
19.34	0.5161E+25
21.05	0.5519E+25
23.02	0.5936E+25
25.27	0.6415E+25
27.85	0.6967E+25
30.81	0.7600E+25
34.21	0.8326E+25
38.14	0.9158E+25
42.68	0.1012E+26
47.96	0.1124E+26
54.13	0.1255E+26
61.40	0.1410E+26
70.04	0.1597E+26
80.40	0.1828E+26
 
 
Energy (eV)	Energy mobility *N (1/m/V/s)
0.9632E-02	0.2174E+26
0.1042E-01	0.2106E+26
0.1135E-01	0.2035E+26
0.1247E-01	0.1961E+26
0.1382E-01	0.1885E+26
0.1544E-01	0.1808E+26
0.1739E-01	0.1730E+26
0.1958E-01	0.1646E+26
0.2229E-01	0.1574E+26
0.2543E-01	0.1503E+26
0.2917E-01	0.1437E+26
0.3323E-01	0.1373E+26
0.3777E-01	0.1313E+26
0.4295E-01	0.1257E+26
0.4847E-01	0.1204E+26
0.5737E-01	0.1160E+26
0.6358E-01	0.1112E+26
0.7028E-01	0.1066E+26
0.7803E-01	0.1026E+26
0.8575E-01	0.9849E+25
0.9414E-01	0.9456E+25
0.1034	0.9068E+25
0.1138	0.8663E+25
0.1258	0.8257E+25
0.1402	0.7821E+25
0.1581	0.7347E+25
0.1812	0.6842E+25
0.2104	0.6319E+25
0.2473	0.5811E+25
0.2924	0.5349E+25
0.3446	0.4952E+25
0.4036	0.4629E+25
0.4659	0.4364E+25
0.5314	0.4152E+25
0.5985	0.3977E+25
0.6675	0.3828E+25
0.7394	0.3697E+25
0.8147	0.3573E+25
1.539	0.2313E+25
1.591	0.2314E+25
1.655	0.2305E+25
1.730	0.2284E+25
1.819	0.2251E+25
1.924	0.2204E+25
2.045	0.2142E+25
2.185	0.2068E+25
2.343	0.1982E+25
2.516	0.1888E+25
2.713	0.1786E+25
2.929	0.1679E+25
3.163	0.1572E+25
3.412	0.1467E+25
3.672	0.1369E+25
3.938	0.1278E+25
4.207	0.1196E+25
4.477	0.1122E+25
4.741	0.1058E+25
5.001	0.1001E+25
5.256	0.9515E+24
5.504	0.9084E+24
5.748	0.8708E+24
5.988	0.8381E+24
6.225	0.8095E+24
6.461	0.7845E+24
6.697	0.7625E+24
6.935	0.7432E+24
7.177	0.7261E+24
7.425	0.7110E+24
7.681	0.6977E+24
7.949	0.6858E+24
8.229	0.6751E+24
8.526	0.6657E+24
8.844	0.6574E+24
9.186	0.6501E+24
9.556	0.6436E+24
9.961	0.6381E+24
10.41	0.6336E+24
10.90	0.6299E+24
11.44	0.6269E+24
12.05	0.6247E+24
12.74	0.6233E+24
13.52	0.6224E+24
14.40	0.6219E+24
15.40	0.6219E+24
16.54	0.6216E+24
17.85	0.6212E+24
19.34	0.6204E+24
21.05	0.6190E+24
23.02	0.6169E+24
25.27	0.6139E+24
27.85	0.6101E+24
30.81	0.6056E+24
34.21	0.6006E+24
38.14	0.5953E+24
42.68	0.5903E+24
47.96	0.5856E+24
54.13	0.5820E+24
61.40	0.5796E+24
70.04	0.5791E+24
80.40	0.5812E+24
 
 
Energy (eV)	Energy diffusion coef. D*N (1/m/s)
0.9632E-02	0.2878E+24
0.1042E-01	0.2877E+24
0.1135E-01	0.2887E+24
0.1247E-01	0.2913E+24
0.1382E-01	0.2956E+24
0.1544E-01	0.3019E+24
0.1739E-01	0.3104E+24
0.1958E-01	0.3203E+24
0.2229E-01	0.3331E+24
0.2543E-01	0.3478E+24
0.2917E-01	0.3646E+24
0.3323E-01	0.3826E+24
0.3777E-01	0.4022E+24
0.4295E-01	0.4231E+24
0.4847E-01	0.4448E+24
0.5737E-01	0.4797E+24
0.6358E-01	0.5017E+24
0.7028E-01	0.5244E+24
0.7803E-01	0.5494E+24
0.8575E-01	0.5738E+24
0.9414E-01	0.5998E+24
0.1034	0.6281E+24
0.1138	0.6583E+24
0.1258	0.6960E+24
0.1402	0.7417E+24
0.1581	0.7982E+24
0.1812	0.8681E+24
0.2104	0.9506E+24
0.2473	0.1043E+25
0.2924	0.1141E+25
